valid_time,Target Error (F),NBM Temperature (F),NBM Cloud Cover (%),NBM Mixing Height (100s ft AGL),NBM Wind Speed (kts),NBM Wind Direction (deg),NBM RH (%),hrrr_lpw (mm),1000mb-700mb Lapse Rate (C/km),700mb-500mb Lapse Rate (C/km),rh_1000,rh_975,rh_950,rh_925,rh_900,rh_875,rh_850,rh_825,rh_800,rh_775,rh_750,rh_725,rh_700,rh_675,rh_650,rh_625,rh_600,rh_575,rh_550,rh_525,rh_500,sin_season,cos_season
2021-03-01 21:00:00,-0.8999999999999986,35.0,92.0,7.0,6.0,17.0,81.79219737449081,13.551635729424556,5.0323876525107964,4.667094478563426,98.57003238840764,98.735731820544,99.66249764617706,99.04542323668711,99.50577447532358,99.47316715673622,99.33018610772515,99.42553455218072,100.0,100.0,95.52581995714996,81.6989790183415,61.21346984750063,65.78991478180492,80.129371218607,81.68525873115958,82.63600776419635,83.28973907428342,82.94575896858315,80.80837659369921,80.1092366395437,0.8584015232918917,0.512978386299228
2021-03-02 21:00:00,-7.0,9.0,61.5,29.0,22.0,30.0,47.37973832451018,3.327055032772799,2.9944497621735926,6.32188513117847,58.88933905294882,58.91127319141079,62.75976158790039,70.06013267944704,77.59871127881944,81.19665940840193,76.72182171788785,73.59521492569392,74.43866306654454,74.73301765052763,72.51659279827672,71.25942544878893,70.21435230754449,69.64621727596509,68.85310587722024,67.842581712815,66.16971060234071,62.44875810254997,58.46879678472039,53.94391585062268,52.31528105006024,0.8670985522812081,0.4981366284784055
2021-03-03 21:00:00,-1.0,24.0,6.0,21.0,12.0,29.0,43.56021420918525,3.7976669308937296,4.892344282361686,6.397293958888659,48.80492949460702,48.53264191391575,49.65027253706068,53.874849217372514,54.00470510219188,51.352965696658,56.60914004809264,63.16004779632791,66.4539299848527,65.28357794115306,57.15613399270391,46.668612176384514,33.24138288965982,27.22880310626332,23.67384645563069,27.00394778813268,30.983366677269963,35.74119436247245,35.45339705831407,31.23437446800581,23.175358281018475,0.8755389928586302,0.4831474640149687
2021-03-04 21:00:00,-2.0,18.0,85.5,30.0,14.0,29.0,56.17755260126734,6.99404749039808,2.652878018209875,6.500355991079771,71.87323024490595,71.56740208061757,76.11091640019387,84.0466356113781,93.54025927272392,99.96047621793586,96.98112710478296,93.62066721023044,93.1980871738006,90.961547991602,87.32134537868008,83.87698968453513,81.31389853472457,80.71397282168786,79.0845349763454,78.7552876205139,78.35028671419795,78.36572420534127,78.37804930285273,76.40719229093722,74.59995390097569,0.8837203473619977,0.4680153284438345
2021-03-05 21:00:00,2.9,17.0,69.5,29.0,10.0,29.0,51.07607193285726,3.759724511997379,5.574241643892574,5.345316678026126,67.59385462076915,67.15927700800167,73.2072143142894,82.06436505510717,92.18540230243644,98.88186201023152,98.54966818012451,99.26762374300878,91.71482079095688,72.12483055343395,62.30996038671084,56.06333511547829,51.78530084874778,51.72322691583441,52.97549049480671,58.10170991358679,63.14021516764237,68.24763148091503,67.55028265419621,62.543375703486106,51.972964365353626,0.8916401947968874,0.452744699607371
2021-03-06 21:00:00,1.0,23.0,64.0,33.0,10.0,27.0,52.056891761752354,4.323866325140238,6.532688566522548,6.461895795783285,62.272414734570766,62.932819285756594,68.8068547964149,76.92741511322319,86.33869204415525,97.59931563375092,98.9912414624067,98.63852620591824,92.48917186036198,78.39617872740273,65.92700777171432,60.54986099926023,58.61720292044607,58.97063531527726,58.78841229971592,57.61306733127268,55.482543001296,50.96372578619582,47.77546144218242,42.981881049835856,43.23083826464988,0.8992961915530253,0.4373400963303323
2021-03-07 21:00:00,2.0,23.0,53.0,29.0,6.0,32.0,52.056891761752354,4.671784217902304,4.872999042245586,5.896318226475107,69.72547161223986,75.82931640136566,85.42375424937732,94.47807203606176,99.71985971694232,99.24467975230894,96.65728577083163,79.27362964994175,69.20333397850247,63.9906700550004,61.40303352325103,58.46482329815438,55.54036630198972,52.3956783269182,50.28510080493288,48.304214888698496,48.03351692420682,47.155372862337245,46.68861984772451,44.70223542129308,41.5143737496737,0.9066860720977984,0.4218060770826634
2021-03-08 21:00:00,2.1,28.0,32.0,23.0,3.0,30.0,52.85634158483062,4.642834046366638,5.221393799286604,4.322074044368732,67.41691967124282,75.22090576130125,84.55152524660568,94.7112798082074,100.0,96.07326423171226,78.18188010812854,52.39788295133818,47.57107156635879,46.087496072552185,46.29904711876684,43.75048047463815,38.30334010354724,29.617305061246498,23.46764029905408,17.533841640836016,15.76027895572914,13.905193205541982,11.546390530702444,8.826850114151414,10.62293175928305,0.9138076496466616,0.4061472386305788
2021-03-09 21:00:00,-1.0,31.0,87.0,26.0,7.0,32.0,63.3361206106023,8.331455181430265,4.696530164079837,6.396562307655395,78.77520674966021,83.42726860007194,91.10862036859211,95.14576086966636,97.89803771699482,96.93957158146225,91.8856365320074,88.52692673177532,88.20897737369384,89.1455063801317,90.95978662251316,92.4105165132846,90.63450185781429,85.74906252320238,81.61778545412545,77.36462322301936,77.88363387551158,77.67537009870766,74.56954061366102,68.33628033078504,60.57530770766761,0.9206588168102428,0.3903682146763026
2021-03-10 21:00:00,2.0,39.0,32.0,6.0,7.0,17.0,56.88260820539456,7.855209507809373,2.3993830829616862,6.5831440192905495,82.16066572965957,74.320550226332,55.66078191992588,34.18908008086728,25.81123555273223,20.506167601258245,17.95653786664323,18.33487794673844,22.416739241575605,28.55756551600053,35.20134970880228,39.512191202372485,43.23981356929813,46.85158823590666,51.024693964711474,56.265513187590855,59.48838986057384,63.04583118343595,63.913252205184975,63.99142726916697,61.39577496033768,0.9272375462179536,0.374473674486883
